"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"KRTCAP3",0.0157255877016134,4.98042679365079,0.611171187525234,0.543247256418532,0.999962582242539,-5.75762275464896,"No Signif"
"OR2F2",0.0157197923387091,2.1083653015873,0.628211463760046,0.532097029873493,0.999962582242539,-5.74769927143356,"No Signif"
"CNIH3",0.0157185201612906,3.58133336507937,0.765233422618906,0.446940486743509,0.999962582242539,-5.65814224340644,"No Signif"
"GATD3A",0.0157168881048371,6.15319476190476,0.611515747663417,0.543020620738247,0.999962582242539,-5.75742476754256,"No Signif"
"AMN",0.0157154485887085,6.61206409523809,0.412821847662484,0.681114529480924,0.999962582242539,-5.85323599685894,"No Signif"
"SCOC",0.0157037066532268,4.94940687301587,0.737216711321163,0.463680133278562,0.999962582242539,-5.67786201814592,"No Signif"
"PEX10",0.0156997419354807,6.32031873015873,0.655860409696627,0.514260854216393,0.999962582242539,-5.7310250242315,"No Signif"
"CSK",0.0156885856854823,5.82208306349206,0.570109507228478,0.570596010471615,0.999962582242539,-5.78042736347579,"No Signif"
"LYPD6B",0.015688033266128,3.25965846031746,0.786482147882702,0.434482611978241,0.999962582242539,-5.64270533626233,"No Signif"
"NBPF6",0.0156805564516125,4.15573692063492,0.707466137100853,0.481840748092378,0.999962582242539,-5.69801123294512,"No Signif"
"EMC3",0.0156791189516099,6.44506619047619,0.68518665039271,0.495696147975818,0.999962582242539,-5.71256596528114,"No Signif"
"IKBKG",0.0156676819556463,5.64639186507936,0.539700834094479,0.591273046372301,0.999962582242539,-5.79630461601477,"No Signif"
"OPRPN",0.0156669022177414,2.26507792063492,0.832092913645953,0.40844528006783,0.999962582242539,-5.60817248201788,"No Signif"
"PPIH",0.0156636335685465,3.90971585714286,0.890593151075841,0.37647751561296,0.999962582242539,-5.56109963748696,"No Signif"
"CDC123",0.0156616915322587,5.87475201587302,0.570172681476464,0.5705534231091,0.999962582242539,-5.78039348220698,"No Signif"
"CDC73",0.0156599475806427,6.09879893650794,0.389762484091452,0.698004018644065,0.999962582242539,-5.8619642550902,"No Signif"
"KRTAP27-1",0.0156571693548391,2.56309342857143,0.465987369462612,0.642803894209474,0.999962582242539,-5.83121288012096,"No Signif"
"PROCA1",0.0156536078629044,5.22567458730159,0.477285873599345,0.634781670369087,0.999962582242539,-5.8261917039118,"No Signif"
"POLRMT",0.0156522016129008,6.34660487301587,0.729533223851513,0.468332643912408,0.999962582242539,-5.6831439257724,"No Signif"
"L1CAM",0.015644044354838,5.64440676190476,0.568924634984191,0.571395049919661,0.999962582242539,-5.78106213967479,"No Signif"
"MFSD11",0.0156307217741922,5.87482931746032,0.450881317376163,0.653596397354749,0.999962582242539,-5.83773957866091,"No Signif"
"TEX261",0.015629099798387,7.0142763968254,0.88285391389765,0.38061368077948,0.999962582242539,-5.5675059974188,"No Signif"
"ZNF705D",0.0156163573588701,3.42027418253968,0.841631451125385,0.403122765948557,0.999962582242539,-5.60071012343278,"No Signif"
"SPHK1",0.0156154889112887,6.07415803174603,0.487479940229238,0.627581070273556,0.999962582242539,-5.82155891580306,"No Signif"
"TUFT1",0.0155999606854813,6.04293204761905,0.400862050372489,0.689854548526085,0.999962582242539,-5.85782520166721,"No Signif"
"CCDC150",0.0155947086693558,2.65742644444444,1.18202506293637,0.241561444090949,0.999962582242539,-5.28058929369286,"No Signif"
"MAGEE1",0.0155911270161253,3.74802823809524,0.721596676012272,0.473166043921102,0.999962582242539,-5.68854271178054,"No Signif"
"PATE3",0.0155877449596762,3.20585774603175,0.401258183673579,0.689564373779429,0.999962582242539,-5.85767534615613,"No Signif"
"DLD",0.0155821925403199,5.2675036031746,0.299028782937666,0.765885280089794,0.999962582242539,-5.89145858326816,"No Signif"
"DPY19L3",0.0155794596774159,4.20364066666667,0.42699986051854,0.670810037016034,0.999962582242539,-5.84762186992142,"No Signif"
"GPATCH1",0.015577797379029,5.54340601587302,0.40994343759983,0.68321407864734,0.999962582242539,-5.85435275707217,"No Signif"
"EFTUD2",0.0155749233870965,6.27051052380952,0.342907069926425,0.732790198920158,0.999962582242539,-5.87816176959101,"No Signif"
"DIP2A",0.01556411592742,5.65529087301587,0.765000783409801,0.447078021885477,0.999962582242539,-5.65830895880114,"No Signif"
"SVOP",0.0155636234879033,3.47399438095238,0.698656257198862,0.487293616035603,0.999962582242539,-5.70382131546709,"No Signif"
"ADNP2",0.0155615191532243,4.91276665079365,0.284506657087964,0.776939090146511,0.999962582242539,-5.89546020625032,"No Signif"
"PIK3C2G",0.0155607852822572,2.32282076190476,1.10045932940984,0.275246864887065,0.999962582242539,-5.36675183919885,"No Signif"
"CARNS1",0.0155607741935508,6.38268011111111,0.639307128995274,0.524900930170237,0.999962582242539,-5.74109289759807,"No Signif"
"VSX2",0.0155594586693546,5.30660753968254,0.413713816435042,0.680464427922033,0.999962582242539,-5.85288835557646,"No Signif"
"GRIA4",0.0155495171370958,3.15498861904762,0.934760902703958,0.353419092166975,0.999962582242539,-5.52349772883144,"No Signif"
