OOB	No	Yes
0.4074074074074074	0.47058823529411764	0.3
0.3888888888888889	0.3333333333333333	0.4666666666666667
0.375	0.36	0.391304347826087
0.39285714285714285	0.4074074074074074	0.3793103448275862
0.4915254237288136	0.4642857142857143	0.5161290322580645
0.4262295081967213	0.41379310344827586	0.4375
0.47619047619047616	0.5161290322580645	0.4375
0.5079365079365079	0.5161290322580645	0.5
0.49206349206349204	0.4838709677419355	0.5
0.4603174603174603	0.4838709677419355	0.4375
0.5079365079365079	0.6129032258064516	0.40625
0.47619047619047616	0.5161290322580645	0.4375
0.42857142857142855	0.45161290322580644	0.40625
0.42857142857142855	0.5161290322580645	0.34375
0.3968253968253968	0.41935483870967744	0.375
0.3492063492063492	0.41935483870967744	0.28125
0.3333333333333333	0.41935483870967744	0.25
0.3492063492063492	0.41935483870967744	0.28125
0.38095238095238093	0.45161290322580644	0.3125
0.38095238095238093	0.45161290322580644	0.3125
0.38095238095238093	0.45161290322580644	0.3125
0.38095238095238093	0.45161290322580644	0.3125
0.38095238095238093	0.45161290322580644	0.3125
0.36507936507936506	0.45161290322580644	0.28125
0.36507936507936506	0.4838709677419355	0.25
0.38095238095238093	0.45161290322580644	0.3125
0.38095238095238093	0.4838709677419355	0.28125
0.36507936507936506	0.4838709677419355	0.25
0.36507936507936506	0.45161290322580644	0.28125
0.3492063492063492	0.45161290322580644	0.25
0.38095238095238093	0.4838709677419355	0.28125
0.3492063492063492	0.41935483870967744	0.28125
0.3492063492063492	0.41935483870967744	0.28125
0.3492063492063492	0.41935483870967744	0.28125
0.38095238095238093	0.41935483870967744	0.34375
0.3333333333333333	0.3870967741935484	0.28125
0.3492063492063492	0.41935483870967744	0.28125
0.31746031746031744	0.3870967741935484	0.25
0.3492063492063492	0.41935483870967744	0.28125
0.3333333333333333	0.3870967741935484	0.28125
0.31746031746031744	0.3870967741935484	0.25
0.31746031746031744	0.3870967741935484	0.25
0.31746031746031744	0.3870967741935484	0.25
0.31746031746031744	0.3870967741935484	0.25
0.25396825396825395	0.3225806451612903	0.1875
0.30158730158730157	0.3870967741935484	0.21875
0.2857142857142857	0.3548387096774194	0.21875
0.30158730158730157	0.3870967741935484	0.21875
0.30158730158730157	0.41935483870967744	0.1875
0.2698412698412698	0.3548387096774194	0.1875
0.30158730158730157	0.3870967741935484	0.21875
0.2857142857142857	0.3870967741935484	0.1875
