Tag	dynamicColors	mergedColors
ANKRD34A	turquoise	brown
TDG	pink	pink
CROT	grey	grey
SYNJ2	grey	grey
PRB3	brown	brown
SOX7	grey	grey
GJC1	grey	grey
EVL	red	pink
PRR32	grey	grey
ZNF230	grey	grey
KRT16	turquoise	brown
MYO1A	grey	grey
ZBTB10	pink	pink
ZNF205	turquoise	brown
ARFIP2	yellow	yellow
PANX1	grey	grey
AVP	turquoise	brown
PSMB11	turquoise	brown
SPRR2B	grey	grey
SLC38A7	grey	grey
TTC38	grey	grey
USP33	pink	pink
ZBTB11	pink	pink
BNIP2	blue	blue
GIMD1	grey	grey
HSF2BP	grey	grey
KLRG2	brown	brown
OCSTAMP	blue	blue
SAA4	grey	grey
PDE5A	grey	grey
CHMP4A	grey	grey
RBM26	blue	blue
C2	grey	grey
TRAF6	grey	grey
CMC1	grey	grey
ARPC1B	black	black
LCLAT1	grey	grey
OR10A6	grey	grey
ALAS2	grey	grey
SEPTIN6	grey	grey
PRR13	grey	grey
GOSR2	grey	grey
PHF6	grey	grey
TLE5	grey	grey
TMEM184A	grey	grey
CSF1R	grey	grey
RAP1A	tan	pink
CTSA	green	green
PDHA1	turquoise	brown
CHST15	grey	grey
ADGRG6	grey	grey
NUP188	grey	grey
MEGF6	turquoise	brown
TLE3	grey	grey
GYPB	grey	grey
SLC27A6	grey	grey
CAB39L	grey	grey
PAAF1	grey	grey
PPARD	grey	grey
TH	turquoise	brown
TMEM209	grey	grey
ENKUR	grey	grey
STX16	blue	blue
LY6G6D	grey	grey
EMB	grey	grey
ARHGEF12	blue	blue
ESCO2	grey	grey
COL4A5	grey	grey
ACTN4	green	green
COMMD8	grey	grey
LAMP5	grey	grey
FDFT1	yellow	yellow
JUP	magenta	green
NEK4	red	pink
USP36	grey	grey
KRCC1	red	pink
BSPRY	brown	brown
OR1N1	grey	grey
RWDD2B	grey	grey
SPRY2	grey	grey
DCAF15	grey	grey
PNLDC1	turquoise	brown
AQP6	brown	brown
MILR1	grey	grey
GABRQ	grey	grey
RCN3	black	black
PCYOX1L	grey	grey
SNX3	grey	grey
MTPN	pink	pink
ZNF704	black	black
SUDS3	grey	grey
SELENOI	pink	pink
SNX7	grey	grey
GIPC2	grey	grey
PSMD7	purple	pink
OR5J2	grey	grey
GOLGA6C	grey	grey
SNRNP48	grey	grey
GALR3	grey	grey
NBPF15	blue	blue
SPC25	grey	grey
GMFG	grey	grey
PABPC4L	grey	grey
SMUG1	grey	grey
EGLN3	black	black
GPR119	brown	brown
ZNF99	blue	blue
SNX18	grey	grey
TMEM97	grey	grey
NCOR2	turquoise	brown
TGM4	turquoise	brown
HRG	grey	grey
GMCL1	grey	grey
DPYD	grey	grey
GLI2	turquoise	brown
PLEKHF2	grey	grey
KCNA10	grey	grey
MSR1	grey	grey
NARF	grey	grey
APCDD1	grey	grey
LIN7C	blue	blue
BHLHA9	turquoise	brown
DRAM1	grey	grey
GDF3	grey	grey
LAS1L	grey	grey
DENND1C	turquoise	brown
MYO1E	grey	grey
